Country,Year,Series,Value
China,1995,GDP per capita (US dollars),592.0
China,2005,GDP per capita (US dollars),1718.0
China,2010,GDP per capita (US dollars),4447.0
China,2015,GDP per capita (US dollars),7863.0
China,2018,GDP per capita (US dollars),9733.0
China,2019,GDP per capita (US dollars),9960.0
China,2020,GDP per capita (US dollars),10229.0
Denmark,1995,GDP per capita (US dollars),35356.0
Denmark,2005,GDP per capita (US dollars),48779.0
Denmark,2010,GDP per capita (US dollars),57967.0
Denmark,2015,GDP per capita (US dollars),53206.0
Denmark,2018,GDP per capita (US dollars),62036.0
Denmark,2019,GDP per capita (US dollars),60216.0
Denmark,2020,GDP per capita (US dollars),61477.0
